"customer_id","customer_count"
49283021,3
52959664,2
19166510,1
44437576,1
18793563,1
9137110,1
50975707,1
50627691,1
30674528,1
51325935,7
43122229,2
41100484,2
29057776,1
49214635,1
47002914,19
52195066,6
38580670,5
30178406,1
29173866,1
52055732,1
50067075,1
49670261,1
29633273,1
50961955,1
24171861,3
32660418,5
52611254,1
40876260,1
23596500,20
44682360,1
52093786,1
48196897,1
49499379,2
48535339,1
5350686,1
49780822,5
34369294,1
50777856,1
39059454,7
52797974,2
51241852,2
52532387,5
49957998,4
25342710,1
28448599,6
12709764,1
39248475,1
51266881,1
51985276,1
40448567,3
33199407,1
50574742,2
53078046,2
51718959,1
20417809,1
52759271,4
51055276,1
45007071,27
49319824,2
49324693,2
32862124,1
45503530,1
28449916,1
51667457,1
50088993,1
16611127,1
49583354,24
17997569,1
48403355,15
52469953,1
50660203,1
50674045,1
23986095,11
52697052,1
20793889,1
52884185,1
17656254,1
52830880,7
38458429,1
12049924,4
52307708,1
34092799,1
51341891,1
43330558,4
13363157,3
52522502,1
50812883,1
52976647,2
46334872,2
49341742,1
51615951,1
52027384,2
51244352,1
33052687,1
37602818,3
49347903,16
36996633,1
37452843,1
17158475,1
52105449,2
6866305,1
40221591,1
36505974,2
52316008,3
51241233,8
51924046,2
51717753,16
38902081,1
50261963,1
49752377,7
12922044,4
43468454,1
50961371,1
26549361,10
37483057,4
48956743,11
49476329,12
30474265,1
38902967,1
14081956,1
49991542,1
52189093,1
48563081,1
16386910,1
16438727,1
31025507,1
51149983,1
50624828,1
51362094,1
47242112,1
46828103,1
50923262,1
51010789,1
50735050,1
52750438,1
46040785,1
52438661,1
43040034,1
41601612,1
50700299,12
51696216,3
52886299,1
50179832,2
49618530,1
50547571,1
41310294,2
49131037,2
51158323,1
11381936,1
49421274,1
50024532,3
42896338,1
12038384,1
40608403,1
52666854,2
32164714,2
46844981,1
11978434,1
43295116,1
31522402,1
49557235,1
34769655,1
51389690,2
48744724,1
48759144,1
46479742,1
52546234,1
36039909,1
50065770,1
52171367,1
48767188,1
50805254,2
27042231,1
36961479,1
51058573,1
22415207,1
41921767,3
51913022,2
50746517,2
8342236,1
37377358,1
49172512,1
51407705,2
44191268,1
52680980,1
50909927,1
43031498,3
50390015,4
48951903,3
48492605,2
49482912,3
20571899,1
40909328,3
52777754,1
50990843,6
46684867,1
51875300,1
23683635,1
51296145,1
52802973,1
45981432,2
51786727,2
51099008,1
11556103,1
52943810,1
52819200,1
49452901,1
2524387,1
14141707,1
46153921,1
49932530,1
46161882,1
46174791,1
23724915,1
50410373,2
46404835,3
15858803,3
44884595,1
25088964,1
28936988,1
51121198,3
51026126,1
49331981,5
39135632,1
52016473,1
52545115,5
51380293,4
52106040,4
52665453,1
32124432,1
49629786,1
51830303,1
50408752,1
49288119,1
52861912,1
52170801,1
51129306,1
49032482,2
12111606,1
50827734,2
50120309,1
52858502,1
52471559,1
51073468,1
36465483,1
50844678,2
36758927,1
37788740,1
50836670,1
50463890,3
47587796,1
47910177,1
2239945,1
51947681,1
51187546,1
20288432,2
49145342,2
21187650,2
27170594,1
36395157,5
41711141,1
33782391,1
12491275,1
49501007,2
51667424,61
28425084,1
52119549,1
36728400,1
53033948,15
32371281,4
11736558,2
42929754,1
51680053,48
50900268,1
43293705,1
51062631,2
44643391,2
52771434,1
37211212,2
11683411,1
50298127,1
47409401,1
51930879,1
44621672,1
50233511,4
12131387,2
1799517,7
52946914,1
52106441,1
51723324,3
52117663,1
51799811,1
49171672,1
34676428,1
32063136,4
52595452,13
15039787,1
48892850,1
52067998,1
52034790,1
25165242,2
44770285,3
51763852,1
50241070,1
44419257,1
50315306,2
36500050,1
51677586,1
43792381,1
33363211,6
51350456,5
45923793,1
51878326,7
52002653,2
50713820,1
13188682,28
50701588,1
49509477,26
52029907,1
38306561,1
43840037,1
44199256,2
50093726,66
50525871,3
26537968,1
51191270,2
51955349,1
49835690,1
52090478,1
52943843,2
44327750,1
50675801,1
50031288,2
14797872,1
40172438,2
43274367,2
11318965,1
49649437,1
52970737,6
38802842,1
21739210,20
52986804,2
49018639,1
31945654,1
43729073,1
50712486,1
16735255,2
20715243,1
51297121,1
39887908,1
53074492,1
41359609,1
15519971,1
49783968,1
50385809,1
41244127,3
49062977,1
24203696,3
30516731,1
44610734,1
42286217,4
50409028,2
51207378,3
13195849,1
52830585,10
51774375,1
50899153,2
39026424,1
26151754,1
52815072,1
48147045,1
49106557,1
38463562,1
49214860,40
52443010,1
49789786,13
47028407,1
51729231,2
50983707,1
28048072,1
43897449,1
37758287,1
45793503,1
51224351,1
50638906,4
49892861,1
51972001,1
51301832,2
17390093,1
15819692,2
43133705,1
37421010,3
48580058,1
43349895,9
39041098,1
46046143,1
49389861,3
12488434,1
50174839,1
49976384,1
51768255,2
49243158,8
35961677,2
23727786,2
50837795,4
19833133,1
46591379,1
49916279,3
45254392,1
49624390,3
50643368,1
52918498,3
18969603,4
11936922,1
40896352,9
49912754,1
28393970,1
38117214,1
21502215,4
16632100,1
45103706,2
12832642,1
32964943,3
45941475,5
28395205,1
51918605,1
38881796,1
52083454,1
51302883,1
48190679,1
51302698,1
17543367,1
51377900,1
45127326,1
37095684,1
51096699,1
50487416,1
49890931,15
53067511,6
52502828,3
31592033,1
44390562,1
50036614,1
48085698,1
51263767,1
47790092,1
12120502,3
20777467,11
43557928,1
14723826,1
31231971,1
52411217,1
44127921,6
52533591,1
52892167,1
28768885,1
51331223,1
52202247,1
43286282,5
51208390,1
14463879,1
34620387,1
18785199,2
11272310,2
51097844,1
37824100,3
50520355,1
36465130,1
14105066,1
29302605,3
50567515,2
50851028,1
50852271,4
49135785,1
49019934,1
16881350,1
50603118,1
49128039,1
49327477,2
30746439,1
52550844,3
18964077,3
49702205,1
52461501,4
38812519,1
33861513,1
40948824,4
50746459,3
52433552,2
50826525,1
30117763,1
53078196,1
49142751,5
27880425,1
16703547,1
51188353,3
18800155,15
44121743,1
53015364,2
51895081,1
52135024,5
44674947,4
27701351,1
45318649,2
49026685,1
21633019,2
11299399,2
50991338,6
45346591,2
25516796,2
52118540,1
47887248,1
47895554,1
51810165,2
53095124,1
51269324,1
15912181,2
42365789,2
52202053,1
36783681,1
50311026,2
11567005,1
21706492,1
21728170,1
45868962,1
52801352,1
49773445,1
16925665,1
45636992,1
49676803,1
14529269,2
52320242,1
51951302,1
31932720,1
51407724,3
50114112,3
51757511,2
49946628,1
23778450,2
44986457,1
50254425,2
14446828,1
15256644,7
46095695,1
41852275,1
10033901,2
35760799,1
42960828,2
50851496,1
46061556,1
51890066,1
36713834,1
51704782,8
52925615,5
41440340,1
49107765,1
20358855,1
36438225,1
11015851,1
50755747,1
52114895,3
10869420,1
43417042,1
50295940,1
52505022,1
50304256,3
11229281,1
51943929,1
25472255,1
52974824,5
20349924,5
50657547,1
48630189,1
51112231,1
50470564,1
49907392,3
